name,price_x,release_date,review_no,review_type,tags,description,Release_date,releasedate,copiessold,price_y,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
FreestyleFootball R,0.0,2022-09-14,1512.0,Mixed,"Massively Multiplayer,PvP,Football (Soccer),Sports,MOBA,RTS,eSports,Character Customization,RPG,Third Person,Comic Book,3D,Action,Casual,Anime,Cartoony,Multiplayer,Online Co-Op,Stylized,Cartoon","《FreestyleFootball》 is a street hip-hop animation style soccer ACG game created by JCE and published by HOGA. In the game, you will collect and play as different characters  in PVP team Competition. The game mode includes 4v4 team competition and club league.",2022-09-14,,,,,,,,,,
Fresh Body,1.92,2021-07-22,1145.0,Mostly Positive,"Action Roguelike,Indie,Action,Adventure,RPG,Gore,Roguelike,Nudity,Sexual Content,2D,Violent,Dark Fantasy,Lovecraftian,Post-apocalyptic,Difficult,Dungeon Crawler,Surreal,Dark,Early Access,Great Soundtrack","Defeat your enemies , take their body parts to replace yours and become another strong boss yourself.",2021-07-22,,,,,,,,,,
Fresh Start Cleaning Simulator,5.49,2022-12-20,1294.0,Very Positive,"3D,First-Person,Realistic,Early Access,Indie,FPS,Family Friendly,Simulation,Story Rich,Casual,Immersive Sim,Atmospheric,Relaxing,Funny,Action,Sandbox,Singleplayer,Education,Building,Adventure","Fresh Start is a relaxing single player game, in which you embark on a mission to clean up the world and restore nature to its fresh and colorful shape. Watch as the world changes in front of your eyes as you help animals, solve puzzles and grow plants around you.",2022-12-20,,,,,,,,,,
Friends Vs Friends: Nerdvana,2.49,2024-01-16,31.0,Positive,"Action,Indie","Nerdvana Comics is open on Buddy’s Boulevard, and alongside everything that you need for your tabletop RPG nights you’ll find new quests, cards, and cosmetics for Duck, DJ Newton, and Haru!",2024-01-16,,,,,,,,,,
Friends vs Friends,5.49,2023-05-30,8368.0,Very Positive,"Card Game,Action,Old School,Online Co-Op,Co-op,FPS,Battle Royale,Colorful,Multiplayer,Team-Based,Indie,PvP,Shooter,Combat,Arena Shooter,First-Person,Hero Shooter,Pixel Graphics,Gun Customization,Destruction","A frantic, online PvP shooter that combines combat and deck building. Choose a character, customize your card-based loadout, and get ready for the fights of your life!",2023-05-30,,,,,,,,,,
Friends vs Friends: Wired Wrecks,2.99,2023-10-10,57.0,Mixed,"Action,Indie,Violent,Gore",Wired Wrecks is the first Premium Expansion for Friends vs Friends,2023-10-10,,,,,,,,,,
Frincess&Cnight,2.49,2021-09-11,116.0,Very Positive,"Action,Puzzle,Platformer,Pixel Graphics,Puzzle Platformer,Romance,Cats,Singleplayer,Split Screen,Casual,2D Platformer,Indie,Adventure,2D,Linear,Difficult",Frincess&Cnight is a single-screen puzzle-platformer game about struggle and love between Frog princess and Cat knight.,2021-09-11,,,,,,,,,,
Frog Demon,0.9,2018-12-11,26.0,Mixed,"Casual,Action,Indie,Adventure,Platformer,Arcade,Great Soundtrack,2D,Singleplayer,Funny,Assassin,Quick-Time Events,Dark Fantasy,Replay Value,Cute,Family Friendly,Controller,Soundtrack,Underground,Foreign",Frog Demon supaaa dupaaa shooter!!,2018-12-11,,,,,,,,,,
Frog Fractions GotDE - Hop's Iconic Cap,5.49,2020-08-03,177.0,Very Positive,"Indie,Adventure,Casual,Action,Simulation,Free to Play","Experience a day in the life of a frog who is wearing a hat! This DLC hat provides you with the flair you need to face down the bugs with style, and impress the audience while you're at it!",2020-08-03,,,,,,,,,,
Frog Fractions: Game of the Decade Edition,0.0,2020-08-03,2441.0,Very Positive,"Free to Play,Casual,Education,Adventure,Indie,Action,Simulation,Surreal,Comedy,Story Rich,Funny,Cult Classic,Memes,Bullet Hell,Typing,NSFW,Survival Horror,Singleplayer,Atmospheric,Violent","The classic web game, reborn! Enjoy this remaster in glorious 4k resolution! Follow this frog on its arcade action adventure through swarm of bugs and beyond! Purchase the hat DLC for the ultimate experience, if you want to eat bugs while wearing a hat!",2020-08-03,,,,,,,,,,
Froggo's Adventure: Verdant Venture,0.9,2024-03-20,170.0,Very Positive,"2D Platformer,Retro,Side Scroller,Adventure,Platformer,Action,Pixel Graphics,Stylized,Action-Adventure,Linear,Controller,2D,Indie,Cute,Colorful,Family Friendly,Singleplayer",A Simple and Bite-sized retro 2D Platformer about a frog on another side-scrolling adventure,2024-03-20,,,,,,,,,,
Froggy's Battle,1.99,2023-07-19,265.0,Very Positive,"Action Roguelike,Roguelite,Skateboarding,Arcade,Indie,2D,Relaxing,Cute,Funny,Action,Controller,Casual,Colorful,Roguelike,Fantasy,Magic,Swordplay,Nature,Combat,Singleplayer","Froggy's Battle is an action roguelike game set in a loop. Help Froggy the steezy magician skater frog defeat all the baddies squatting her favorite riding spot. Choose your upgrades carefully, become more and more powerful and kickflip yourself through waves of enemies and ferocious bosses!",2023-07-19,,,,,,,,,,
Frogmonster,8.19,2024-04-02,250.0,Very Positive,"Action,Adventure,Action-Adventure,Shooter,FPS,Metroidvania,Arena Shooter,Atmospheric,3D,Voxel,First-Person,Fantasy,Nature,Underground,Nonlinear,Singleplayer,Indie,Souls-like,Boomer Shooter,Combat","Discover some of the most charming and challenging bosses in Frogmonster, a Metroidvania FPS adventure where you explore a lively world  filled with creatures, bugs, and beasts.",2024-04-02,02-04-2024,3920.0,19.99,62346.0,7.469643702002446,0.0,Indie,Ben Jungwirth,Ben Jungwirth,1853760.0
Frogsong,6.99,2023-06-10,152.0,Very Positive,"Exploration,Action RPG,Action-Adventure,RPG,Cute,Top-Down,Funny,LGBTQ+,Controller,Linear,Story Rich,2D,Action,Cartoony,Colorful,Hand-drawn,Family Friendly,Fantasy,Atmospheric,Emotional","A heartfelt adventure in a fantasy world of frogs! Talk to weird and wonderful characters, fight vicious bugs, and explore a vibrant world in this charming action RPG.",2023-06-10,,,,,,,,,,
Frogun,6.99,2022-08-02,386.0,Very Positive,"Cute,3D Platformer,Female Protagonist,Platformer,3D,Action,Third Person,Cartoony,Colorful,Pixel Graphics,Casual,Family Friendly,Adventure,Physics,Retro,Cartoon,Funny,Singleplayer,Indie,Action-Adventure","Join Renata as she adventures across a world of mystical ruins with the titular FROGUN! Frogun is an old-school platformer with the soul of the PS1/N64 era, in which your frog-shaped grappling hook is a your best friend!",2022-08-02,,,,,,,,,,
Frogun Encore,6.49,2024-06-25,63.0,Very Positive,"Action,Adventure,Casual,Action-Adventure,Platformer,3D Platformer,Precision Platformer,3D,Cartoon,Cartoony,Cute,Pixel Graphics,Third Person,Family Friendly,Funny,Retro,Female Protagonist,Physics,Co-op,Local Co-Op","Frogun ENCORE is a dashing standalone expansion/sequel to indie hit FROGUN! Join now older Renata and Jake in a trek around the whole world to prevent the return of Beelzebub.  ENCORE builds on FROGUN's retro PS1/N64 formula. Plus, enjoy the whole adventure in true couch co-op.",2024-06-25,,,,,,,,,,
From Glory To Goo,,,,,,,,02-04-2024,15469.0,11.99,140951.0,16.68310705082089,92.0,Indie,Stratagem Blue,Stratagem Blue,2607060.0
From the Depths - Gone to Sea characters,2.49,2023-03-06,18.0,Positive,"Strategy,Action,Adventure,Indie,Simulation","The second model pack that contains four characters, Captain, Diver, Sailor1 and Sailor2.",2023-03-06,,,,,,,,,,
From the Depths - Steel Striders Anime Girl Characters,2.99,2022-12-24,95.0,Very Positive,"RPG,Indie,Simulation,Strategy,Action,Adventure,Anime","The community asked for it, so here it is!  The first avatar/display character model pack.

Meet Sakura and Rin of the Steel Striders!",2022-12-24,,,,,,,,,,
Front Mission Evolved,5.49,2010-10-08,657.0,Mixed,"Mechs,Action,Shooter,Third-Person Shooter,Sci-fi,Robots,Third Person,Singleplayer,Futuristic",Experience piloting and customizing massive armored units called Wanzers while engaging in high-intensity battles driven by a compelling story. The battle begins now!,2010-10-08,,,,,,,,,,
Frontier Hunter - DLC : Newbie Prop Pack,0.9,2022-12-15,11.0,Positive,"Action,Adventure,RPG,Indie,Casual,Platformer,Exploration,Anime,Female Protagonist,Souls-like,Action RPG,JRPG,Character Customization,2.5D,2D Platformer,Action-Adventure,Story Rich,Side Scroller,Metroidvania,Hack and Slash","After the empire invented the airship, people finally became able to fly across float continents and islands.Erza leads an exploration team to explore the savage frontier where the empire can’t reach. When they break through all difficulties and reaches the destination, what awaits them is...",2022-12-15,,,,,,,,,,
Frontier Hunter: Erza’s Wheel of Fortune,8.49,2024-07-26,1166.0,Very Positive,"Metroidvania,JRPG,Side Scroller,2D Platformer,Female Protagonist,Platformer,Anime,Hack and Slash,Souls-like,RPG,Exploration,Action,Action-Adventure,Action RPG,2.5D,Cute,Character Customization,Fantasy,Open World,Dungeon Crawler","This is an anime-style Metroidvania game with an RPG progression system, numerous weapons for switching, and an emphasis on equipment building. It offers three switchable characters, smooth gameplay, impactful combat feedback, and anime-style story scenes.",2024-07-26,26-07-2024,54431.0,24.99,922336.0,11.12684600466776,88.0,Indie,"IceSitruuna,NPC Entertainment",IceSitruuna,1429500.0
Frontline 1942: Battles of the World War 2,0.0,2023-11-14,720.0,Mixed,"Simulation,Action,Sports,MMORPG,MOBA,Arcade,Action-Adventure,RTS,Wargame,Arena Shooter,Turn-Based Tactics,Top-Down Shooter,Top-Down,3D,First-Person,World War II,1990's,Combat,PvP,Gun Customization","Immerse yourself in the times of World War II and become a real hero! Shoot, capture, win – the path to glory is paved with shells!",2023-11-14,,,,,,,,,,
Frosty Nights,2.99,2017-12-09,194.0,Mostly Positive,"Strategy,Action,Indie,Horror,Survival,Survival Horror,Atmospheric,Psychological Horror,First-Person,VR,Singleplayer",Frosty Nights is a First Person hybrid horror game that focuses on atmosphere and suspense.,2017-12-09,,,,,,,,,,
Frozen Flame,8.19,2022-11-17,2083.0,Mixed,"Open World Survival Craft,Online Co-Op,Adventure,Base Building,RPG,Exploration,Open World,Survival,Action,Co-op Campaign,Sandbox,Fantasy,Colorful,Building,PvP,Dark Fantasy,Crafting,Multiplayer,Hack and Slash,Co-op","A challenging exploration and survival adventure, set in the dying world of Dragons. Only those who harness the power of Frozen Flame have the means to survive the harsh conditions of the realm and able to muster the strength to cleanse it for good.",2022-11-17,,,,,,,,,,
Fruit Mountain,,,,,,,,17-03-2024,15541.0,8.99,122090.0,11.539945662135423,0.0,Indie,BeXide Inc.,BeXide Inc.,2753620.0
Fruit Ninja VR,14.99,2016-12-15,772.0,Very Positive,"VR,Swordplay,Action,Memes,Physics,Simulation,Singleplayer,Cartoony,Casual,First-Person,Colorful,Family Friendly,Ninja,Combat,Score Attack,3D,Fighting,Sports,Free to Play,Hack and Slash",Step inside the Fruit Ninja universe and experience a slice of virtual reality like never before. Play Fruit Ninja VR now!,2016-12-15,,,,,,,,,,
Fuck You Witch,,,,,,,,29-03-2024,8355.0,9.99,65063.0,0.9673952756904698,92.0,Indie,Beshbarmak games,Beshbarmak games,2736020.0
Full Animal Party,2.99,2020-03-24,17.0,Mostly Positive,"Action,Indie,Casual,Early Access,Multiplayer,4 Player Local,Local Multiplayer,Split Screen,Board Game",Full Animal Party is a 4-Player party game in which you will have to compete against other party animal players in 35 different minigames and four board modes in order to be the crowned victor. Hooray!,2020-03-24,,,,,,,,,,
Full Metal Furies,8.19,2018-01-17,1955.0,Very Positive,"Action,Co-op,Indie,RPG,Beat 'em up,Adventure,Local Co-Op,Female Protagonist,4 Player Local,Online Co-Op,Pixel Graphics,Puzzle,Action RPG,2D,Local Multiplayer,Difficult,Side Scroller,Multiplayer,Bullet Hell,Funny","From the creators of Rogue Legacy comes a ""true-cooperative"" action RPG.  FULL METAL FURIES puts an emphasis on team play with a unique combat system where everyone is important.  Play on the couch, alone or with friends, or make it an online party for up to four players!",2018-01-17,,,,,,,,,,
Full Void,3.09,2023-07-18,171.0,Very Positive,"Puzzle Platformer,Pixel Graphics,2D Platformer,Adventure,Dystopian ,2D,Action,Indie,Singleplayer,Platformer,Linear,Puzzle,Story Rich,Post-apocalyptic,Retro,Cinematic","Full Void is a 2D Cinematic Puzzle Platformer set in a dystopian future. A young teenager, scared and alone, must use all their skills to defeat a rogue AI that keeps mankind oppressed.",2023-07-18,,,,,,,,,,
Fun with Ragdolls: The Game,6.99,2019-09-17,4118.0,Very Positive,"Physics,Sandbox,Funny,Simulation,Action,Indie,Building,Singleplayer,3D,Family Friendly,Multiplayer,Adventure,Colorful,Destruction,Comedy,Games Workshop,Controller,Moddable,Third Person,Open World","Become a ragdoll and create your own environments in Sandbox Mode, explore worlds created by others, or just flop around your destructible sets! Fun with Ragdolls: The Game lets you enjoy everything you love about ragdolls!",2019-09-17,,,,,,,,,,
Furi,2.86,2016-07-05,9152.0,Very Positive,"Hack and Slash,Bullet Hell,Difficult,Shoot 'Em Up,Beat 'em up,Top-Down,Third Person,Atmospheric,Sci-fi,Controller,Action,Cyberpunk,Story Rich,Fast-Paced,Boss Rush,Violent,Replay Value,Singleplayer,Indie,Great Soundtrack","The jailer is the key, kill him and you’ll be free. Fight your way free in this ultra-responsive, fast-paced sword-fighting and dual-stick shooting game.",2016-07-05,,,,,,,,,,
Furi - Onnamusha,1.99,2022-05-17,134.0,Mostly Positive,"Action,Difficult,Fast-Paced,Bullet Hell,Controller,Female Protagonist,Singleplayer,Replay Value,Story Rich,Indie,Third Person,Sci-fi,Shoot 'Em Up,Violent,Beat 'em up,Boss Rush","Rediscover Furi with the Onnamusha Rider:  a powerful fighter that alternates between two stances: fast and agile or slower but lethal, until she's able to unleash the devastating power of the Star.",2022-05-17,,,,,,,,,,
Furi Original Soundtrack,4.19,2016-07-07,52.0,Very Positive,"Action,Indie,Music,Great Soundtrack,Difficult,Singleplayer,Story Rich,Soundtrack","Furi Original Soundtrack features the music created for Furi by Carpenter Brut, Danger, The Toxic Avenger, Lorn, Scattle, Waveshaper and Kn1ght. 

93 minutes. MP3 and FLAC files.",2016-07-07,,,,,,,,,,
Furnish Master,,,,,,,,19-02-2024,26791.0,14.99,335843.0,3.571453533283467,78.0,Indie,Alex Blintsov,Alex Blintsov,2004080.0
Fursan al-Aqsa: The Knights of the Al-Aqsa Mosque,6.99,2022-04-18,521.0,Overwhelmingly Positive,"FPS,Shooter,PvE,Tactical,Military,First-Person,Hero Shooter,Wargame,Historical,Action,Team-Based,Co-op,Nonlinear,Realistic,Stealth,Drama,War,Emotional,Modern,Survival Horror",FPS/TPS Game which addresses the Israel x Palestine conflict from a Palestinian perspective. The Palestinian Max Payne on Steroids. Most BASED game of all times!!!,2022-04-18,,,,,,,,,,
Further Still: Survivors,2.49,2022-09-20,24.0,Positive,"Action Roguelike,Action,Roguelite,Bullet Hell,Top-Down,Pixel Graphics,Dark Fantasy,2D,Retro,Character Customization,Fantasy,Score Attack,Combat,Roguelike,Singleplayer,Early Access,PvE,Arcade,Indie","Pick and choose between tons of weapons, spells and equipment to create a build capable of surviving a never-ending horde of monsters. Find a build, break the game and see how far you can take it.",2022-09-20,,,,,,,,,,
Futanari di Funghi,,,,,,,,03-06-2024,5273.0,6.99,31301.0,5.102718338234958,81.0,Indie,Shady Corner Games,Ahegames,2496640.0
Future Fragments,,,,,,,,22-02-2024,14679.0,19.99,263197.0,6.791463008808835,80.0,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920.0
Fuzz Dungeon,2.49,2021-06-08,55.0,Very Positive,"Action,Adventure,Experimental,Exploration,Action Roguelike,Investigation,Mystery Dungeon,2.5D,2D,3D,Cartoony,Colorful,Hand-drawn,Pixel Graphics,Stylized,Third Person,Dark Humor,Psychological,Sci-fi,Surreal",The well back to your job has been absorbed inside a sasquatch sex amulet. Journey through 15 levels of absurdist human history to try and bring it back.,2021-06-08,,,,,,,,,,
G String,7.49,2020-10-17,820.0,Very Positive,"Indie,Action,Adventure,Cyberpunk,Violent,Atmospheric,Sci-fi,FPS,Sexual Content,Female Protagonist,Gore,Futuristic,Horror,Old School,Shooter,Dystopian ,Immersive,Retro,Exploration,First-Person","Slip into the Standard Issue Biosuit as Myo Hyori, a gifted Korean teenage girl who must face the perils of the future. Survive many hazards, explore a seemingly endless metropolis and beyond as the world around you implodes and history marches towards its inevitable conclusion.",2020-10-17,,,,,,,,,,
G WARRIOR,2.99,2024-07-17,55.0,Very Positive,"Action,Action-Adventure,Shooter,Arcade,2D Platformer,Bullet Hell,Combat Racing,Shoot 'Em Up,2D,Pixel Graphics,1980s,1990's,Aliens,Space,War,Futuristic,Robots,Mars,Sci-fi,Combat","G WARRIOR is a retro hardcore action shooting game. Pick up the gun and destroy all robots and aliens. Fight in colorful scenes such as snowy mountains, caves, seas of fire, alien lairs, etc.! !",2024-07-17,,,,,,,,,,
G-Darius HD,10.49,2022-03-30,121.0,Very Positive,"Side Scroller,Shoot 'Em Up,Shooter,Arcade,Female Protagonist,2.5D,3D,Underwater,Action,Controller,Multiple Endings,Sci-fi,Score Attack,1990's,Aliens,Futuristic,Co-op,Local Co-Op,Local Multiplayer,Singleplayer","You will see the creation of new lives... Capture enemies and fire them back at their allies as enormous beams of energy in this horizontally scrolling shooting game, featuring 5 versions of G-Darius with new features, enhancements, and Steam exclusive extras!",2022-03-30,,,,,,,,,,
G-MODEアーカイブス+ 怒首領蜂大往生DX,2.39,2021-11-16,36.0,Positive,"Action,Bullet Hell,Shooter,Top-Down Shooter,Pixel Graphics,Singleplayer,Shoot 'Em Up","“You will die.”

Confirm it with your own eyes. See with your own eyes the most deadly barrage ever spread across your palms.",2021-11-16,,,,,,,,,,
G.O.P.O.T.A. - adventures at the railway station,0.99,2023-05-07,76.0,Mostly Positive,"Strategy,Action,Adventure,RPG,Indie,Casual,Simulation,Racing,Sports,Violent,Memes,Walking Simulator,Life Sim,Exploration,First-Person,Funny,Atmospheric,Realistic","- Did you make some cool, serious DLC?

- Yes seriously! And you don't believe it?!",2023-05-07,,,,,,,,,,
GALAK-Z,8.19,2015-10-29,243.0,Mostly Positive,"Action Roguelike,Action,Indie,Space,Arcade,Roguelite,Mechs,Anime,Shoot 'Em Up,Roguelike,Difficult","Brand New features!! The Void DLC offers endless gameplay, Online Leaderboards, and a Daily Challenge that allows players to compete worldwide for the top score.  Anime inspired 2D space combat simulation at its best!  GALAK-Z is a modern, A.I. and physics-driven open-world action game, viewed through the lens of the classic 16-bit space shooter.",2015-10-29,,,,,,,,,,
GAME.exe,1.99,2021-07-03,371.0,Very Positive,"Survival Horror,Psychological Horror,Singleplayer,Action,Story Rich,Lore-Rich,Sandbox,Investigation,Pixel Graphics,Clicker,Exploration,Psychological,2D,3D,Crime,Colorful,First-Person,1990's,Assassin,Life Sim","You bought a PC that belonged to a suicidal developer, do you dare to run ""Game.exe""?",2021-07-03,,,,,,,,,,
GAROU: MARK OF THE WOLVES,9.99,2016-12-07,785.0,Very Positive,"Action,2D Fighter,Arcade,Fighting,Competitive,Anime","“GAROU: MARK OF THE WOLVES”, the latest entry in the legendary ""FATAL FURY"" Series which still continues to fascinate players around the world to this day, returns for a new fight on Steam!",2016-12-07,,,,,,,,,,
GENSOU Skydrift,8.49,2019-12-11,547.0,Very Positive,"Combat Racing,Racing,PvP,Competitive,Arcade,Battle Royale,Cute,Female Protagonist,Funny,Anime,Psychological Horror,Action,Comedy,Faith,Singleplayer,Survival Horror,Multiplayer,Indie,Great Soundtrack,Sexual Content","Finally, a Touhou Project racing game!

Race down courses set in the magical land of Gensokyo!

Use the tag system to swap rider and board!

Lots of spell cards and Last Words!



Features online VS mode and multiplayer.

You can check records and win rates after races.



Get a move on and get racing!",2019-12-11,,,,,,,,,,
GGST Additional Battle Stage 4 - Tír na nÓg,1.99,2023-05-25,26.0,Positive,Action,"The additional battle stage ""Tír na nÓg"" becomes selectable in-game.",2023-05-25,,,,,,,,,,
"GGST Additional Battle Stage 5 - Fallen Prayer, Engulfed Lives",1.99,2024-03-26,26.0,Positive,"2D Fighter,Fighting,Anime,Great Soundtrack,PvP,Action,2.5D,Arcade,Lore-Rich,2D,Multiplayer,Story Rich,3D,Local Multiplayer,Fantasy,Combat,Cinematic,Drama,Casual,Singleplayer","The additional battle stage ""Fallen Prayer, Engulfed Lives"" becomes selectable in-game.",2024-03-26,,,,,,,,,,
GGST Additional Battle Stage 6 - Amber Fest with Kind Neighbors,1.99,2024-05-30,10.0,Positive,Action,"The additional battle stage ""Amber Fest with Kind Neighbors"" becomes selectable in-game.",2024-05-30,,,,,,,,,,
GGST Additional Character 1 - Goldlewis Dickinson,6.99,2021-07-27,262.0,Very Positive,"Action,America,Sexual Content,Cute,Hentai,Psychological Horror,Nudity,LGBTQ+",This allows the character Goldlewis Dickinson to be used in-game.,2021-07-27,,,,,,,,,,
GGST Additional Character 10 - Johnny,6.99,2023-08-24,194.0,Very Positive,"Action,Gambling,Sexual Content,Great Soundtrack,Fighting,Psychological Horror,Nudity","This allows the character ""Johnny"" to be used in-game.",2023-08-24,,,,,,,,,,
GGST Additional Character 11 - Elphelt Valentine,6.99,2023-12-08,361.0,Very Positive,"Fighting,2D Fighter,Great Soundtrack,Anime,PvP,Action,2.5D,Arcade,Lore-Rich,2D,3D,Story Rich,Multiplayer,Local Multiplayer,Fantasy,Combat,Cinematic,Drama,Casual,Singleplayer","This allows the character ""Elphelt Valentine"" to be used in-game.",2023-12-08,,,,,,,,,,
GGST Additional Character 12 - A.B.A,6.99,2024-03-26,273.0,Very Positive,"2D Fighter,Fighting,Anime,Great Soundtrack,PvP,Action,2.5D,Arcade,Lore-Rich,2D,Multiplayer,Story Rich,3D,Local Multiplayer,Fantasy,Combat,Cinematic,Drama,Casual,Singleplayer","This allows the character ""A.B.A"" to be used in-game.",2024-03-26,,,,,,,,,,
GGST Additional Character 13 - Slayer,6.99,2024-05-30,290.0,Very Positive,"Action,Vampire,Psychological Horror,Sexual Content,NSFW,Nudity,Hentai,Dating Sim,Survival Horror,Horror,Great Soundtrack,LGBTQ+","This allows the character ""Slayer"" to be used in-game.",2024-05-30,,,,,,,,,,
GGST Additional Character 2 - Jack-O,6.99,2021-08-27,231.0,Very Positive,"Action,Psychological Horror,Sexual Content,Cute",This allows the character Jack-O to be used in-game.,2021-08-27,,,,,,,,,,
GGST Additional Character 3 - Happy Chaos,6.99,2021-11-30,370.0,Very Positive,"Psychological Horror,Third-Person Shooter,Action,Shooter,Singleplayer,Sexual Content,LGBTQ+,Souls-like,Survival Horror,Hentai,Great Soundtrack,Nudity,FPS","This allows the character ""Happy Chaos"" to be used in-game.",2021-11-30,,,,,,,,,,
GGST Additional Character 4 - Baiken,6.99,2022-01-28,390.0,Very Positive,"Action,Sexual Content,Fighting,Cute,Psychological Horror","This allows the character ""Baiken"" to be used in-game.",2022-01-28,,,,,,,,,,
GGST Additional Character 5 - Testament,6.99,2022-03-28,215.0,Very Positive,"Action,LGBTQ+,2D Fighter,Psychological Horror","This allows the character ""Testament"" to be used in-game.",2022-03-28,,,,,,,,,,
GGST Additional Character 6 - Bridget,6.99,2022-08-08,984.0,Overwhelmingly Positive,"Cute,Action,LGBTQ+,Female Protagonist,Fighting,Psychological Horror,2D Fighter,Anime,Colorful,Souls-like,Great Soundtrack","This allows the character ""Bridget"" to be used in-game.",2022-08-08,,,,,,,,,,
GGST Additional Character 7 - Sin Kiske,6.99,2022-11-24,163.0,Very Positive,"Action,Cooking,Psychological Horror,2D Fighter","This allows the character ""Sin"" to be used in-game.",2022-11-24,,,,,,,,,,
GGST Additional Character 8 - Bedman?,6.99,2023-04-06,213.0,Very Positive,"Action,Psychological Horror,Cute,LGBTQ+","This allows the character ""Bedman?"" to be used in-game.",2023-04-06,,,,,,,,,,
GGST Additional Character 9 - Asuka,6.99,2023-05-25,199.0,Very Positive,"Action,Card Game,Deckbuilding,Card Battler,Psychological Horror,Magic,Bullet Hell,Singleplayer,2D Fighter,LGBTQ+","This allows the character ""Asuka R♯"" to be used in-game.",2023-05-25,,,,,,,,,,
GHOST: AC-130 Close Air Support,2.49,2023-02-23,23.0,Mixed,"Immersive Sim,Action,Simulation,Military,War,Shooter,Arcade,Realistic,Early Access,Indie,Violent,Combat,Singleplayer,Adventure,Action-Adventure,FPS,3D,First-Person,Atmospheric,Wargame","You are the gunner of the AC-130 Gunship. One of the most lethal war machines ever made. Use your skill with thermal optics and three of the biggest and most lethal guns ever produced to stop the enemy cold. This is a mindless shooter. A game to zone out with. Relax, and destroy.",2023-02-23,,,,,,,,,,
GHOSTWARE: Arena of the Dead,6.99,2024-06-10,116.0,Very Positive,"Boomer Shooter,Arena Shooter,FPS,Action-Adventure,3D,1990's,Atmospheric,Horror,Dark Humor,Dark,Sci-fi,Choices Matter,Action,Stylized,Shooter,First-Person,Story Rich,Female Protagonist,Old School,Retro","An unique blend of retro-fps, metroidvania and adventure. Escape the cyber afterlife you've been trapped into, hop between realities and shoot your way out with the help of your new allies. But are they really your friends?

The Arena conspiracy goes deeper than you could possibly imagine...",2024-06-10,10-06-2024,2758.0,14.99,31678.0,2.716453630347715,85.0,Indie,Mothership Loudspeakerz,Daev Team,1893370.0
GIBZ,3.99,2017-04-07,1048.0,Very Positive,"Zombies,Shoot 'Em Up,Side Scroller,Base Building,4 Player Local,Co-op,Shooter,Arcade,Character Customization,2D,Controller,Action,Cartoony,Adventure,Combat,Online Co-Op,Singleplayer,Indie,Violent,Werewolves","Shoot, slice and surf on zombies by yourself or with friends. Fight overwhelming amounts of zombies and other monsters summoned by an evil wizard (ooOooOOOo spooky) in an early 1900s London.",2017-04-07,,,,,,,,,,
GINSHA,5.03,2023-08-24,20.0,Positive,"Adventure,Action,Metroidvania,2D Platformer,Side Scroller,Souls-like,Platformer,Exploration,Indie,Open World,Female Protagonist,2D,Pixel Graphics,Atmospheric,Sci-fi,Futuristic,Loot,Aliens,Singleplayer,Crafting","GINSHA is a unique atmospheric pixelart Action Adventure Platformer with special Gravity Shield and Dash Mechanics. It combines a versatile Platformer core with RPG, Souls and Crafting Elements to an Anomaly among Metroidvania games.",2023-08-24,,,,,,,,,,
GIRLDIVERS,,,,,,,,30-08-2024,2795.0,14.99,30160.0,1.5064797203365987,93.0,Indie,Sweet Cakes Games,Sweet Cakes Games,2892310.0
GLOWCOMA: chapter 1,0.9,2019-11-23,205.0,Very Positive,"Action,Adventure,Indie,Gore,Violent,FPS,Horror",GLOWCOMA: chapter 1 is a Sci-Fi FPS survivor horror game.,2019-11-23,,,,,,,,,,
GOAT OF DUTY,8.49,2019-07-10,545.0,Very Positive,"FPS,Multiplayer,Shooter,Action,Arena Shooter,Comedy,Fast-Paced,Funny,First-Person,PvP,Memes,Parkour,Dark Humor,Sci-fi,Violent,Destruction,Dark Comedy,Parody ,Physics,Futuristic","Goat of Duty is a fast-paced multiplayer shooter where goats armed to the horns bleat face to face in a relentless deathmatch. Ram and troll your friends, own the craziest goatstumes, and put your skills to the test in the quirkiest FPS ever. Are you ready to become the GOAT of goats?",2019-07-10,,,,,,,,,,
GOBLIN SLAYER -ANOTHER ADVENTURER- NIGHTMARE FEAST,,,,,,,,28-02-2024,700.0,54.99,34638.0,8.28881600993995,48.0,Indie,Bushiroad Inc.,"APOLLOSOFT Inc.,mebius.",2456410.0
GOD EATER 2 Rage Burst,49.99,2016-08-30,3231.0,Very Positive,"Anime,Action,Character Customization,RPG,Hunting,Co-op,Hack and Slash,JRPG,Multiplayer,Singleplayer,Great Soundtrack,Post-apocalyptic,Story Rich,Third Person,Online Co-Op,Atmospheric,Female Protagonist,Open World,Nudity,Mature",Swear your oath as a GOD EATER and drive back the supernatural harbingers of Earth’s destruction. Buy GOD EATER 2 Rage Burst and get GOD EATER Resurrection FOR FREE,2016-08-30,,,,,,,,,,
